,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,27,0,207,95,186,279,303,650,1044,1940,2789,4964,7988,12516,18088,25092,34348,43460,50560,55626,56925,54725,50988,47089,42420,39351,36639,34575,33614,35524,35942,34450,31969,29796,27963,25529,24180,21576,20475,20463,20976,21037,21556,21229,20208,18789,17335,15165,12397,9769,7425,5786,4656,3922,4139,4157,4470,4837,4987,5040,5055,5171,5680,6254,7132,7657,8314,10265,11515,12839,13139,13261,12269,11274,9576,8296,7809,7379,6360,5734,4905,4051,3318,2592,1856,1311,958,656,306,157,41
1,21,0,72,39,61,99,86,219,342,610,841,1349,2147,3001,4200,5409,6919,7766,8483,8360,7956,6875,5942,5317,4684,4249,4101,3899,3945,3894,3896,3511,3327,2938,2745,2447,2218,2060,1998,2064,2237,2213,2258,2013,1966,1843,1638,1268,1013,778,568,453,419,403,522,500,520,554,577,573,559,573,695,799,1016,1076,1272,1519,1709,1756,1675,1495,1222,1116,915,823,740,701,540,532,459,396,314,235,155,117,64,49,28,3,0
2,14,0,46,12,44,46,49,118,206,318,490,705,1111,1518,1959,2533,2943,3280,3295,3086,2794,2387,2143,1921,1784,1671,1625,1611,1537,1565,1518,1321,1273,1137,1035,983,901,863,938,911,997,932,987,893,770,711,608,518,362,265,228,169,157,171,222,226,262,254,228,250,275,287,325,388,474,508,505,670,669,731,629,552,512,424,349,304,290,298,222,217,206,152,147,91,76,44,30,14,9,1,0
3,5,0,27,16,24,40,38,81,132,224,293,464,644,852,1146,1396,1641,1809,1787,1551,1427,1246,1140,999,940,878,932,920,924,880,868,743,691,680,619,563,565,497,545,516,549,541,534,494,462,404,325,254,224,177,121,86,87,109,135,143,148,149,141,147,166,156,178,207,258,303,322,367,403,368,314,268,260,233,180,175,166,143,152,123,104,72,52,43,36,24,19,11,4,1,0
4,4,0,19,14,16,27,33,54,84,154,196,279,397,519,683,855,947,982,984,1023,900,765,686,622,572,572,579,566,577,605,525,537,438,434,433,395,358,338,341,342,364,384,350,329,257,254,209,161,151,115,77,66,82,85,93,119,108,104,118,107,101,116,163,152,153,207,200,230,244,255,190,173,174,136,138,126,125,112,95,74,76,49,47,31,19,13,14,3,2,0,0
5,3,0,13,10,16,20,22,36,59,114,107,197,281,362,452,542,657,694,725,653,622,506,479,409,432,456,415,390,381,419,414,329,365,328,321,264,277,227,270,257,273,289,225,266,242,189,147,126,107,76,57,39,45,51,68,74,77,67,57,73,82,100,95,112,102,139,148,174,176,168,142,127,103,89,93,71,112,63,66,61,59,42,39,22,12,8,4,6,1,0,0
6,3,0,4,7,7,16,19,35,41,74,98,132,212,242,332,419,473,528,512,483,441,376,361,346,291,296,322,375,306,324,297,301,245,261,218,196,206,174,189,206,232,220,195,178,143,137,122,90,65,66,31,44,41,42,69,42,76,56,69,62,79,74,78,74,100,89,103,127,118,137,119,92,70,74,69,62,66,45,49,45,42,23,19,16,5,12,2,4,1,1,0
7,1,0,10,5,9,15,10,19,47,53,77,109,155,194,307,368,403,372,402,403,332,301,274,239,237,237,235,295,219,260,248,215,206,216,195,160,160,154,159,150,184,165,164,138,111,89,102,58,39,40,37,38,32,39,40,45,47,53,50,49,60,66,52,71,86,75,81,103,100,110,84,84,61,61,53,61,46,34,36,32,25,32,12,11,8,7,4,3,1,0,0
8,1,0,7,4,8,12,13,17,35,61,52,105,130,160,236,262,311,343,363,301,258,267,200,206,188,211,225,221,212,203,216,159,175,176,135,117,144,130,131,158,111,125,119,118,87,86,66,47,46,38,40,20,22,25,23,43,40,46,38,32,54,45,53,67,69,60,73,88,99,86,97,47,62,48,55,29,36,34,33,32,20,25,12,7,5,3,0,2,1,0,0
9,0,0,5,6,4,7,5,17,29,38,59,88,107,142,206,236,270,293,268,257,225,187,186,192,156,140,168,179,192,196,175,174,137,127,135,111,121,112,103,147,123,103,113,103,83,69,38,49,30,35,18,22,28,18,31,26,37,20,28,38,40,31,42,54,67,64,66,83,69,64,55,50,48,36,43,34,38,30,18,24,21,12,11,4,7,6,1,3,0,0,0
