,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,27,0,181,70,126,190,353,503,806,1305,2630,3881,6692,10651,16523,24312,36703,51722,69721,92028,114152,129191,136259,132831,119555,101197,85941,68607,54251,41256,31637,22516,15868,10302,7084,4509,3016,1973,1423,966,616,409,348,310,171,146,109,84,67,46,37,20,12,18,9,8,5,5,0,1,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,0,69,33,44,53,105,175,247,463,847,1127,1870,2586,3997,5552,7725,10431,12429,15114,16778,16539,15568,13719,11409,8955,7269,5734,4299,3093,2262,1491,997,569,344,230,162,93,77,48,39,18,23,8,14,6,2,7,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,45,10,22,33,56,95,156,248,489,575,969,1411,2041,2667,3720,4786,5549,6469,7029,6567,6026,5171,4008,3287,2543,1958,1501,1029,699,450,324,171,111,70,39,23,13,12,9,3,5,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,26,10,27,22,48,62,113,183,279,418,570,865,1248,1646,2162,2785,3099,3546,3800,3710,3241,2691,2125,1688,1325,958,729,469,344,203,137,70,33,22,15,15,9,3,3,0,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,24,3,13,26,30,46,82,114,196,292,388,521,769,1094,1381,1720,1948,2214,2421,2297,2035,1751,1308,997,787,632,474,315,208,103,75,49,22,8,12,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,19,3,9,10,24,38,51,79,130,179,282,361,579,776,897,1202,1374,1591,1707,1771,1375,1142,1023,729,612,415,290,179,124,65,46,31,13,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,12,3,8,11,26,26,41,57,96,153,229,263,418,499,766,918,1062,1266,1357,1210,1078,844,689,511,413,339,208,138,94,60,36,22,10,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,3,1,11,10,16,13,28,49,81,126,175,217,356,460,566,820,877,972,974,942,885,725,515,391,303,244,179,107,65,35,27,12,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,8,2,5,9,6,17,23,48,71,90,164,212,291,392,464,675,762,857,841,748,728,579,443,352,254,182,124,74,52,25,14,8,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,6,3,3,7,18,21,16,40,84,76,128,190,249,333,452,532,665,751,755,697,551,423,354,274,216,153,121,77,37,13,10,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,4,1,3,7,11,14,25,34,61,75,101,139,227,277,373,486,562,636,597,594,493,360,326,212,156,123,83,57,37,17,5,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,5,1,6,6,9,15,12,49,53,62,94,141,180,284,345,406,479,510,564,524,410,327,252,177,144,106,62,54,16,11,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,5,2,3,1,5,15,15,32,52,54,78,153,183,233,276,384,433,481,443,445,353,292,222,154,115,82,56,33,21,15,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
