,Susceptible,Exposed,Infected,Recovered,Incidence (E)
0,1837098,0,100,0,100
1,1837098,0,96,4,0
2,1836619,454,118,7,479
3,1836463,534,187,14,156
4,1836121,760,286,31,342
5,1835655,1055,435,53,466
6,1834819,1647,649,83,836
7,1833562,2522,988,126,1257
8,1831640,3870,1500,188,1922
9,1828429,6136,2370,263,3211
10,1822469,10637,3703,389,5960
11,1814341,16357,5922,578,8128
12,1801069,25803,9437,889,13272
13,1781252,39658,14914,1374,19817
14,1751282,60534,23268,2114,29970
15,1709167,89103,35602,3326,42115
16,1649010,129075,53914,5199,60157
17,1567105,182538,79464,8091,81905
18,1462929,246602,115283,12384,104176
19,1331201,323976,163142,18879,131728
20,1175084,409209,224718,28187,156117
21,1006045,490363,299463,41327,169039
22,834048,557173,386535,59442,171997
23,671123,602183,479760,84132,162925
24,527209,618950,575297,115742,143914
25,406985,608806,665454,155953,120224
26,306064,580244,745152,205738,100921
27,225910,536646,809802,264840,80154
28,163186,484553,856461,332998,62724
29,116100,427245,884333,409520,47086
30,80401,370099,893667,493031,35699
31,55351,314722,885733,581392,25050
32,37782,263512,862872,673032,17569
33,26525,216012,829110,765551,11257
34,18889,175047,784811,858451,7636
35,14029,139744,734668,948757,4860
36,10774,110537,680302,1035585,3255
37,8659,85983,624741,1117815,2115
38,7131,66121,569831,1194115,1528
39,6100,50225,515590,1265283,1031
40,5430,37299,463713,1330756,670
41,4999,27415,415218,1389566,431
42,4620,19877,370008,1442693,379
43,4298,14425,328700,1489775,322
44,4110,10228,290507,1532353,188
45,3954,7237,256055,1569952,156
46,3843,4981,225798,1602576,111
47,3751,3474,198094,1631879,92
48,3682,2398,173553,1657565,69
49,3632,1653,151686,1680227,50
50,3594,1149,132078,1700377,38
51,3574,774,114607,1718243,20
52,3562,534,99200,1733902,12
53,3543,391,85449,1747815,19
54,3534,291,73218,1760155,9
55,3526,207,62470,1770995,8
56,3521,145,52924,1780608,5
57,3516,104,44556,1789022,5
58,3516,74,37308,1796300,0
59,3515,48,31006,1802629,1
60,3513,35,25658,1807992,2
61,3510,22,21103,1812563,3
62,3509,19,17182,1816488,1
63,3509,13,13906,1819770,0
64,3508,10,11198,1822482,1
65,3507,8,8872,1824811,1
66,3506,7,6969,1826716,1
67,3506,6,5456,1828230,0
68,3506,5,4267,1829420,0
69,3506,3,3330,1830359,0
70,3506,2,2575,1831115,0
71,3506,2,1963,1831727,0
72,3506,2,1521,1832169,0
73,3506,1,1123,1832568,0
74,3506,0,869,1832823,0
75,3505,1,640,1833052,1
76,3505,1,476,1833216,0
77,3505,1,349,1833343,0
78,3505,1,256,1833436,0
79,3505,1,192,1833500,0
80,3505,1,135,1833557,0
81,3505,1,108,1833584,0
82,3505,0,81,1833612,0
83,3505,0,57,1833636,0
84,3505,0,36,1833657,0
85,3505,0,28,1833665,0
86,3505,0,25,1833668,0
87,3505,0,20,1833673,0
88,3505,0,16,1833677,0
89,3505,0,12,1833681,0
90,3505,0,11,1833682,0
