,Unnamed: 0,Susceptible,Exposed,Infected,Recovered,Incidence (E),Incidence (I)
0,0.0,1837098.0,0.0,100.0,0.0,100.0,100
1,1.0,1837098.0,0.0,96.0,4.0,0.0,96
2,2.0,1836619.0,454.0,118.0,7.0,479.0,118
3,3.0,1836463.0,534.0,187.0,14.0,156.0,187
4,4.0,1836121.0,760.0,286.0,31.0,342.0,286
5,5.0,1835655.0,1055.0,435.0,53.0,466.0,435
6,6.0,1834819.0,1647.0,649.0,83.0,836.0,649
7,7.0,1833562.0,2522.0,988.0,126.0,1257.0,988
8,8.0,1831640.0,3870.0,1500.0,188.0,1922.0,1500
9,9.0,1828429.0,6136.0,2370.0,263.0,3211.0,2370
10,10.0,1822469.0,10637.0,3703.0,389.0,5960.0,3703
11,11.0,1814341.0,16357.0,5922.0,578.0,8128.0,5922
12,12.0,1801069.0,25803.0,9437.0,889.0,13272.0,9437
13,13.0,1781252.0,39658.0,14914.0,1374.0,19817.0,14914
14,14.0,1751282.0,60534.0,23268.0,2114.0,29970.0,23268
15,15.0,1709167.0,89103.0,35602.0,3326.0,42115.0,35602
16,16.0,1649010.0,129075.0,53914.0,5199.0,60157.0,53914
17,17.0,1567105.0,182538.0,79464.0,8091.0,81905.0,79464
18,18.0,1462929.0,246602.0,115283.0,12384.0,104176.0,115283
19,19.0,1331201.0,323976.0,163142.0,18879.0,131728.0,163142
20,20.0,1175084.0,409209.0,224718.0,28187.0,156117.0,224718
21,21.0,1006045.0,490363.0,299463.0,41327.0,169039.0,299463
22,22.0,834048.0,557173.0,386535.0,59442.0,171997.0,386535
23,23.0,671123.0,602183.0,479760.0,84132.0,162925.0,479760
24,24.0,527209.0,618950.0,575297.0,115742.0,143914.0,575297
25,25.0,406985.0,608806.0,665454.0,155953.0,120224.0,665454
26,26.0,306064.0,580244.0,745152.0,205738.0,100921.0,745152
27,27.0,225910.0,536646.0,809802.0,264840.0,80154.0,809802
28,28.0,163186.0,484553.0,856461.0,332998.0,62724.0,856461
29,29.0,116100.0,427245.0,884333.0,409520.0,47086.0,884333
30,30.0,80401.0,370099.0,893667.0,493031.0,35699.0,893667
31,31.0,55351.0,314722.0,885733.0,581392.0,25050.0,885733
32,32.0,37782.0,263512.0,862872.0,673032.0,17569.0,862872
33,33.0,26525.0,216012.0,829110.0,765551.0,11257.0,829110
34,34.0,18889.0,175047.0,784811.0,858451.0,7636.0,784811
35,35.0,14029.0,139744.0,734668.0,948757.0,4860.0,734668
36,36.0,10774.0,110537.0,680302.0,1035585.0,3255.0,680302
37,37.0,8659.0,85983.0,624741.0,1117815.0,2115.0,624741
38,38.0,7131.0,66121.0,569831.0,1194115.0,1528.0,569831
39,39.0,6100.0,50225.0,515590.0,1265283.0,1031.0,515590
40,40.0,5430.0,37299.0,463713.0,1330756.0,670.0,463713
41,41.0,4999.0,27415.0,415218.0,1389566.0,431.0,415218
42,42.0,4620.0,19877.0,370008.0,1442693.0,379.0,370008
43,43.0,4298.0,14425.0,328700.0,1489775.0,322.0,328700
44,44.0,4110.0,10228.0,290507.0,1532353.0,188.0,290507
45,45.0,3954.0,7237.0,256055.0,1569952.0,156.0,256055
46,46.0,3843.0,4981.0,225798.0,1602576.0,111.0,225798
47,47.0,3751.0,3474.0,198094.0,1631879.0,92.0,198094
48,48.0,3682.0,2398.0,173553.0,1657565.0,69.0,173553
49,49.0,3632.0,1653.0,151686.0,1680227.0,50.0,151686
50,50.0,3594.0,1149.0,132078.0,1700377.0,38.0,132078
51,51.0,3574.0,774.0,114607.0,1718243.0,20.0,114607
52,52.0,3562.0,534.0,99200.0,1733902.0,12.0,99200
53,53.0,3543.0,391.0,85449.0,1747815.0,19.0,85449
54,54.0,3534.0,291.0,73218.0,1760155.0,9.0,73218
55,55.0,3526.0,207.0,62470.0,1770995.0,8.0,62470
56,56.0,3521.0,145.0,52924.0,1780608.0,5.0,52924
57,57.0,3516.0,104.0,44556.0,1789022.0,5.0,44556
58,58.0,3516.0,74.0,37308.0,1796300.0,0.0,37308
59,59.0,3515.0,48.0,31006.0,1802629.0,1.0,31006
60,60.0,3513.0,35.0,25658.0,1807992.0,2.0,25658
61,61.0,3510.0,22.0,21103.0,1812563.0,3.0,21103
62,62.0,3509.0,19.0,17182.0,1816488.0,1.0,17182
63,63.0,3509.0,13.0,13906.0,1819770.0,0.0,13906
64,64.0,3508.0,10.0,11198.0,1822482.0,1.0,11198
65,65.0,3507.0,8.0,8872.0,1824811.0,1.0,8872
66,66.0,3506.0,7.0,6969.0,1826716.0,1.0,6969
67,67.0,3506.0,6.0,5456.0,1828230.0,0.0,5456
68,68.0,3506.0,5.0,4267.0,1829420.0,0.0,4267
69,69.0,3506.0,3.0,3330.0,1830359.0,0.0,3330
70,70.0,3506.0,2.0,2575.0,1831115.0,0.0,2575
71,71.0,3506.0,2.0,1963.0,1831727.0,0.0,1963
72,72.0,3506.0,2.0,1521.0,1832169.0,0.0,1521
73,73.0,3506.0,1.0,1123.0,1832568.0,0.0,1123
74,74.0,3506.0,0.0,869.0,1832823.0,0.0,869
75,75.0,3505.0,1.0,640.0,1833052.0,1.0,640
76,76.0,3505.0,1.0,476.0,1833216.0,0.0,476
77,77.0,3505.0,1.0,349.0,1833343.0,0.0,349
78,78.0,3505.0,1.0,256.0,1833436.0,0.0,256
79,79.0,3505.0,1.0,192.0,1833500.0,0.0,192
80,80.0,3505.0,1.0,135.0,1833557.0,0.0,135
81,81.0,3505.0,1.0,108.0,1833584.0,0.0,108
82,82.0,3505.0,0.0,81.0,1833612.0,0.0,81
83,83.0,3505.0,0.0,57.0,1833636.0,0.0,57
84,84.0,3505.0,0.0,36.0,1833657.0,0.0,36
85,85.0,3505.0,0.0,28.0,1833665.0,0.0,28
86,86.0,3505.0,0.0,25.0,1833668.0,0.0,25
87,87.0,3505.0,0.0,20.0,1833673.0,0.0,20
88,88.0,3505.0,0.0,16.0,1833677.0,0.0,16
89,89.0,3505.0,0.0,12.0,1833681.0,0.0,12
90,90.0,3505.0,0.0,11.0,1833682.0,0.0,11
