,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability,True Rt
0,1,6.448402183746724,783.3339638761787,6.061768714647368,6.849161363393232,0.95,6.4871793
1,2,6.259623619481141,13.681438701482715,5.978774919943326,6.547933693026807,0.95,8.312865
2,3,6.785011135325661,4.950108254417681,6.54221001932631,7.03288851457443,0.95,9.920601
3,4,7.0567469197934685,5.1526527120595045,6.850443859612956,7.2665195936611555,0.95,8.644737
4,5,7.426953012405084,5.7894156235705525,7.253471617585544,7.602723976940253,0.95,8.646778
5,6,7.1015467926233935,6.312301047572251,6.964337338973177,7.24022849471291,0.95,8.003642
6,7,6.840193729501055,7.040986912309197,6.732595801694272,6.948718018476945,0.95,7.645593
7,8,6.302004978609168,8.493564694250772,6.2202283233349505,6.3843585197946,0.95,7.260235
8,9,5.855040957900734,7.4381460940314215,5.792163066343545,5.918279975140997,0.95,6.421137
9,10,5.314618292220769,7.4654995904032555,5.266481654589425,5.362984938646639,0.95,5.615431
10,11,4.799948306737981,6.777862662485412,4.762767866843516,4.837278430173832,0.95,5.091285
11,12,4.2624708480674816,6.448048948194411,4.23372057853425,4.29132059729479,0.95,4.62983
12,13,3.699427780532353,5.819935134337793,3.677185535482791,3.7217377458953957,0.95,4.012181
13,14,3.158905756593174,5.401147592261956,3.1416199393794866,3.1762389997273512,0.95,3.3753679
14,15,2.6299087439756477,4.876169578670587,2.616448402792258,2.6434034273819744,0.95,2.854319
15,16,2.123660998871875,4.21523706684468,2.1131574238877002,2.1341904502064497,0.95,2.3154852
16,17,1.6699392289188753,3.7072357398160576,1.661691054292501,1.6782078241265452,0.95,1.8868198
17,18,1.283847206094296,3.1460569624708827,1.2772915363547972,1.2904198802927511,0.95,1.4913878
18,19,0.9803190013940262,2.5281921963850658,0.9749793848066405,0.9856736674692672,0.95,1.1653643
19,20,0.7498150187940371,1.9779271197974497,0.745329261762277,0.7543149880129781,0.95,0.93966174
20,21,0.5892627907054797,1.5014013862013336,0.585325458019836,0.593214430316024,0.95,0.7550959
21,22,0.4706260496625076,1.1193185508670778,0.4670463108394006,0.4742210625461161,0.95,0.6960337
22,23,0.386310439489816,0.8349338606583875,0.3829293916510313,0.38970865260064297,0.95,0.62702954
23,24,0.3187253698014032,0.662351019848055,0.31545880092742357,0.3220120861761826,0.95,0.5485281
